@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
292,'2021/11/13 18:47:25:745',6,240,249,471,247,250,249,?
293,'2021/11/13 18:47:25:746',6,241,249,471,247,250,249,?
294,'2021/11/13 18:47:25:789',6,241,250,471,247,250,249,?
295,'2021/11/13 18:47:25:789',6,239,250,471,247,250,249,?
296,'2021/11/13 18:47:25:819',6,239,250,470,247,250,249,?
297,'2021/11/13 18:47:25:824',6,239,249,470,247,250,249,?
298,'2021/11/13 18:47:25:826',6,240,249,470,247,250,249,?
299,'2021/11/13 18:47:25:849',6,240,249,470,248,250,249,?
300,'2021/11/13 18:47:25:850',6,240,249,469,248,250,249,?
301,'2021/11/13 18:47:25:850',6,240,250,469,248,250,249,?
302,'2021/11/13 18:47:25:850',6,239,250,469,248,250,249,?
303,'2021/11/13 18:47:30:725',7,388,395,360,258,247,249,?
304,'2021/11/13 18:47:30:727',7,388,395,360,258,245,249,?
305,'2021/11/13 18:47:30:727',7,388,395,360,250,245,249,?
306,'2021/11/13 18:47:30:727',7,388,395,364,250,245,249,?
307,'2021/11/13 18:47:30:727',7,388,394,364,250,245,249,?
308,'2021/11/13 18:47:30:727',7,390,394,364,250,245,249,?
309,'2021/11/13 18:47:30:755',7,390,394,364,250,245,252,?
310,'2021/11/13 18:47:30:755',7,390,394,364,245,245,252,?
311,'2021/11/13 18:47:30:755',7,390,394,354,245,245,252,?
312,'2021/11/13 18:47:30:756',7,390,398,354,245,245,252,?
313,'2021/11/13 18:47:30:757',7,385,398,354,245,245,252,?
314,'2021/11/13 18:47:30:799',7,385,398,354,245,245,254,?
315,'2021/11/13 18:47:30:800',7,385,398,354,245,247,254,?
316,'2021/11/13 18:47:30:800',7,385,398,354,248,247,254,?
317,'2021/11/13 18:47:30:801',7,385,398,350,248,247,254,?
318,'2021/11/13 18:47:30:801',7,387,398,350,248,247,254,?
319,'2021/11/13 18:47:30:829',7,387,398,350,248,247,251,?
320,'2021/11/13 18:47:30:831',7,387,398,350,248,249,251,?
321,'2021/11/13 18:47:30:831',7,387,396,350,248,249,251,?
322,'2021/11/13 18:47:30:831',7,383,396,350,248,249,251,?
323,'2021/11/13 18:47:30:860',7,383,396,350,248,249,247,?
324,'2021/11/13 18:47:30:864',7,383,396,350,248,251,247,?
325,'2021/11/13 18:47:30:865',7,383,396,350,247,251,247,?
326,'2021/11/13 18:47:30:865',7,383,396,351,247,251,247,?
327,'2021/11/13 18:47:30:865',7,386,396,351,247,251,247,?
328,'2021/11/13 18:47:30:905',7,386,398,351,247,251,247,?
329,'2021/11/13 18:47:30:907',7,385,398,351,247,251,247,?
330,'2021/11/13 18:47:30:935',7,385,398,351,247,251,249,?
331,'2021/11/13 18:47:30:935',7,385,398,351,247,250,249,?
332,'2021/11/13 18:47:30:936',7,385,398,351,248,250,249,?
333,'2021/11/13 18:47:30:936',7,385,398,354,248,250,249,?
334,'2021/11/13 18:47:30:936',7,385,400,354,248,250,249,?
335,'2021/11/13 18:47:30:936',7,388,400,354,248,250,249,?
336,'2021/11/13 18:47:30:964',7,388,400,354,248,250,251,?
337,'2021/11/13 18:47:30:965',7,388,400,354,248,249,251,?
338,'2021/11/13 18:47:30:965',7,388,400,353,248,249,251,?
339,'2021/11/13 18:47:31:009',7,388,400,353,248,249,249,?
340,'2021/11/13 18:47:31:009',7,388,400,353,248,247,249,?
341,'2021/11/13 18:47:31:010',7,388,400,353,249,247,249,?
342,'2021/11/13 18:47:31:010',7,388,400,351,249,247,249,?
343,'2021/11/13 18:47:31:010',7,388,397,351,249,247,249,?
344,'2021/11/13 18:47:31:010',7,386,397,351,249,247,249,?
345,'2021/11/13 18:47:31:039',7,386,397,351,249,247,250,?
346,'2021/11/13 18:47:31:044',7,386,397,351,249,246,250,?
347,'2021/11/13 18:47:31:046',7,386,397,351,250,246,250,?
348,'2021/11/13 18:47:31:046',7,386,397,353,250,246,250,?
349,'2021/11/13 18:47:31:046',7,386,399,353,250,246,250,?
350,'2021/11/13 18:47:31:046',7,387,399,353,250,246,250,?
351,'2021/11/13 18:47:31:070',7,387,399,353,250,246,248,?
352,'2021/11/13 18:47:31:070',7,387,399,353,250,241,248,?
353,'2021/11/13 18:47:31:070',7,387,399,353,252,241,248,?
354,'2021/11/13 18:47:31:070',7,387,399,348,252,241,248,?
355,'2021/11/13 18:47:31:070',7,387,397,348,252,241,248,?
356,'2021/11/13 18:47:31:071',7,385,397,348,252,241,248,?
357,'2021/11/13 18:47:31:114',7,385,397,348,252,245,248,?
358,'2021/11/13 18:47:31:114',7,385,397,349,252,245,248,?
359,'2021/11/13 18:47:31:115',7,385,398,349,252,245,248,?
360,'2021/11/13 18:47:31:145',7,385,398,349,252,245,249,?
361,'2021/11/13 18:47:31:145',7,385,398,349,251,245,249,?
362,'2021/11/13 18:47:31:145',7,385,398,348,251,245,249,?
363,'2021/11/13 18:47:31:145',7,385,397,348,251,245,249,?
364,'2021/11/13 18:47:31:145',7,390,397,348,251,245,249,?
365,'2021/11/13 18:47:31:192',7,390,397,348,251,245,250,?
366,'2021/11/13 18:47:31:192',7,390,397,348,251,248,250,?
367,'2021/11/13 18:47:31:193',7,390,397,348,250,248,250,?
368,'2021/11/13 18:47:31:193',7,390,397,352,250,248,250,?
369,'2021/11/13 18:47:31:193',7,390,399,352,250,248,250,?
370,'2021/11/13 18:47:31:193',7,387,399,352,250,248,250,?
371,'2021/11/13 18:47:31:221',7,387,399,352,250,248,249,?
372,'2021/11/13 18:47:31:222',7,387,399,349,250,248,249,?
373,'2021/11/13 18:47:31:223',7,387,398,349,250,248,249,?
374,'2021/11/13 18:47:31:249',7,387,398,349,249,248,249,?
375,'2021/11/13 18:47:31:250',7,387,398,351,249,248,249,?
376,'2021/11/13 18:47:31:250',7,387,400,351,249,248,249,?
377,'2021/11/13 18:47:31:250',7,389,400,351,249,248,249,?
378,'2021/11/13 18:47:31:295',7,389,400,351,249,248,250,?
379,'2021/11/13 18:47:31:297',7,389,400,348,249,248,250,?
380,'2021/11/13 18:47:31:298',7,386,400,348,249,248,250,?
381,'2021/11/13 18:47:31:325',7,386,400,348,249,250,250,?
382,'2021/11/13 18:47:31:326',7,386,400,348,247,250,250,?
383,'2021/11/13 18:47:31:328',7,386,400,350,247,250,250,?
384,'2021/11/13 18:47:31:329',7,389,400,350,247,250,250,?
385,'2021/11/13 18:47:31:355',7,389,400,350,247,250,251,?
386,'2021/11/13 18:47:31:357',7,389,400,350,247,249,251,?
387,'2021/11/13 18:47:31:358',7,389,400,350,250,249,251,?
388,'2021/11/13 18:47:31:358',7,389,400,347,250,249,251,?
389,'2021/11/13 18:47:31:358',7,389,401,347,250,249,251,?
390,'2021/11/13 18:47:31:358',7,387,401,347,250,249,251,?
391,'2021/11/13 18:47:31:399',7,387,401,347,250,249,248,?
392,'2021/11/13 18:47:31:400',7,387,401,347,250,244,248,?
393,'2021/11/13 18:47:31:401',7,387,401,347,253,244,248,?
394,'2021/11/13 18:47:31:401',7,387,401,352,253,244,248,?
395,'2021/11/13 18:47:31:401',7,387,398,352,253,244,248,?
396,'2021/11/13 18:47:31:401',7,390,398,352,253,244,248,?
397,'2021/11/13 18:47:31:429',7,390,398,352,253,244,249,?
398,'2021/11/13 18:47:31:430',7,390,398,352,253,246,249,?
399,'2021/11/13 18:47:31:430',7,390,398,352,250,246,249,?
400,'2021/11/13 18:47:31:430',7,390,396,352,250,246,249,?
401,'2021/11/13 18:47:31:430',7,383,396,352,250,246,249,?
402,'2021/11/13 18:47:31:459',7,383,396,352,250,246,248,?
403,'2021/11/13 18:47:31:460',7,383,396,352,250,251,248,?
404,'2021/11/13 18:47:31:460',7,383,396,352,246,251,248,?
405,'2021/11/13 18:47:31:460',7,383,396,350,246,251,248,?
406,'2021/11/13 18:47:31:460',7,383,397,350,246,251,248,?
407,'2021/11/13 18:47:31:460',7,387,397,350,246,251,248,?
408,'2021/11/13 18:47:31:504',7,387,397,350,246,251,250,?
409,'2021/11/13 18:47:31:506',7,387,397,350,246,249,250,?
410,'2021/11/13 18:47:31:507',7,387,397,350,244,249,250,?
411,'2021/11/13 18:47:31:507',7,387,397,352,244,249,250,?
412,'2021/11/13 18:47:31:507',7,387,400,352,244,249,250,?
413,'2021/11/13 18:47:31:507',7,391,400,352,244,249,250,?
414,'2021/11/13 18:47:31:534',7,391,400,352,244,249,252,?
415,'2021/11/13 18:47:31:535',7,391,400,352,244,245,252,?
416,'2021/11/13 18:47:31:535',7,391,400,352,249,245,252,?
417,'2021/11/13 18:47:31:535',7,391,400,347,249,245,252,?
418,'2021/11/13 18:47:31:535',7,390,400,347,249,245,252,?
419,'2021/11/13 18:47:31:579',7,390,400,347,249,246,252,?
420,'2021/11/13 18:47:31:580',7,390,396,347,249,246,252,?
421,'2021/11/13 18:47:31:581',7,387,396,347,249,246,252,?
422,'2021/11/13 18:47:31:609',7,387,396,347,249,246,250,?
