@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
162,'2021/11/10 17:51:35:793',3,83,393,246,249,251,250,0.898046,0.076032,0.005698
163,'2021/11/10 17:51:35:794',3,83,393,251,249,251,250,0.898046,0.076032,0.005698
164,'2021/11/10 17:51:35:794',3,83,391,251,249,251,250,0.898046,0.076032,0.005698
165,'2021/11/10 17:51:35:794',3,82,391,251,249,251,250,0.898046,0.076032,0.005698
166,'2021/11/10 17:51:35:837',3,82,391,251,249,250,250,0.898046,0.076032,0.005698
167,'2021/11/10 17:51:35:838',3,82,391,251,244,250,250,0.898046,0.076032,0.005698
168,'2021/11/10 17:51:35:838',3,82,391,253,244,250,250,0.898046,0.076032,0.005698
169,'2021/11/10 17:51:35:838',3,86,391,253,244,250,250,0.898046,0.076032,0.005698
170,'2021/11/10 17:51:35:867',3,86,391,253,244,250,255,0.898046,0.076032,0.005698
171,'2021/11/10 17:51:35:867',3,86,391,253,244,249,255,0.898046,0.076032,0.005698
172,'2021/11/10 17:51:35:867',3,86,391,253,249,249,255,0.898046,0.076032,0.005698
173,'2021/11/10 17:51:35:867',3,86,391,245,249,249,255,0.898046,0.076032,0.005698
174,'2021/11/10 17:51:35:867',3,86,397,245,249,249,255,0.898046,0.076032,0.005698
175,'2021/11/10 17:51:35:897',3,86,397,245,249,249,254,0.898046,0.076032,0.005698
176,'2021/11/10 17:51:35:899',3,86,397,245,249,252,254,0.898046,0.076032,0.005698
177,'2021/11/10 17:51:35:899',3,86,397,251,249,252,254,0.898046,0.076032,0.005698
178,'2021/11/10 17:51:35:899',3,86,390,251,249,252,254,0.898046,0.076032,0.005698
179,'2021/11/10 17:51:35:899',3,82,390,251,249,252,254,0.898046,0.076032,0.005698
180,'2021/11/10 17:51:35:942',3,82,390,251,249,252,250,0.898046,0.076032,0.005698
181,'2021/11/10 17:51:35:943',3,82,390,251,246,252,250,0.898046,0.076032,0.005698
182,'2021/11/10 17:51:35:943',3,82,390,245,246,252,250,0.898046,0.076032,0.005698
183,'2021/11/10 17:51:35:943',3,82,396,245,246,252,250,0.898046,0.076032,0.005698
184,'2021/11/10 17:51:35:943',3,79,396,245,246,252,250,0.898046,0.076032,0.005698
185,'2021/11/10 17:51:35:972',3,79,396,245,246,252,249,0.898046,0.076032,0.005698
186,'2021/11/10 17:51:35:972',3,79,396,245,246,247,249,0.898046,0.076032,0.005698
187,'2021/11/10 17:51:35:973',3,79,396,245,249,247,249,0.898046,0.076032,0.005698
188,'2021/11/10 17:51:35:974',3,79,396,249,249,247,249,0.898046,0.076032,0.005698
189,'2021/11/10 17:51:35:974',3,85,396,249,249,247,249,0.898046,0.076032,0.005698
190,'2021/11/10 17:51:51:016',4,397,407,162,246,250,248,0.148305,0.690899,0.807203
191,'2021/11/10 17:51:51:033',4,397,407,160,246,250,248,0.148305,0.690899,0.807203
192,'2021/11/10 17:51:51:038',4,397,408,160,246,250,248,0.148305,0.690899,0.807203
193,'2021/11/10 17:51:51:039',4,400,408,160,246,250,248,0.148305,0.690899,0.807203
194,'2021/11/10 17:51:51:061',4,400,408,160,246,250,249,0.148305,0.690899,0.807203
